family,batch_label,batch,optimizer,lr,seed,score,path
native_single_gpu,4M,4194304,muon,0.04,42,0.9794753806530967,sweep_results_v9/muon_bsz4194304_lr0.04_s42.json
native_single_gpu,4M,4194304,muon,0.04,43,0.9892503414648726,sweep_results_v9/muon_bsz4194304_lr0.04_s43.json
native_single_gpu,4M,4194304,muon,0.04,44,1.0134612336892475,sweep_results_v9/muon_bsz4194304_lr0.04_s44.json
native_single_gpu,512K,524288,muon,0.01,42,0.900373985220073,sweep_results_v9/muon_bsz524288_lr0.01_s42.json
native_single_gpu,512K,524288,muon,0.01,43,0.8985045305504571,sweep_results_v9/muon_bsz524288_lr0.01_s43.json
native_single_gpu,512K,524288,muon,0.01,44,0.8978988685195181,sweep_results_v9/muon_bsz524288_lr0.01_s44.json
streaming_ddp_top1_old,1M,1048576,identity,0.005,42,0.9745478479336864,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz1048576_lr0p005/result.json
streaming_ddp_top1_old,1M,1048576,identity,0.01,42,0.934978943610453,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz1048576_lr0p01/result.json
streaming_ddp_top1_old,1M,1048576,identity,0.02,42,0.9372708967786287,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz1048576_lr0p02/result.json
streaming_ddp_top1_old,1M,1048576,identity,0.04,42,0.9427686428225797,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz1048576_lr0p04/result.json
streaming_ddp_top1_old,128K,131072,identity,0.005,42,0.9200448045563637,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p005/result.json
streaming_ddp_top1_old,128K,131072,identity,0.01,42,0.916967759255345,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p01/result.json
streaming_ddp_top1_old,128K,131072,identity,0.02,42,0.9196062513374547,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p02/result.json
streaming_ddp_top1_old,128K,131072,identity,0.04,42,0.9274729672473677,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p04/result.json
streaming_ddp_top1_old,8M,8388608,identity,0.01,42,1.1154935489893718,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz8388608_lr0p01/result.json
streaming_ddp_top1_old,8M,8388608,identity,0.02,42,1.0985011151399768,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz8388608_lr0p02/result.json
streaming_ddp_top1_old,8M,8388608,identity,0.04,42,1.1036631176490814,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz8388608_lr0p04/result.json
