method,batch,lr,score,train_loss_final,steps,path
kl_soap,2048,0.0005,2.371500417555027,7.977179845132853,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz2048_lr0.0005.json
kl_soap,2048,0.001,2.3724961205861255,7.978207410452532,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz2048_lr0.001.json
kl_soap,2048,0.002,2.3753993747429507,7.981385498667985,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz2048_lr0.002.json
plain_muon,2048,0.00025,2.370736505030944,7.976710630732787,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz2048_lr0.00025.json
plain_muon,2048,0.0005,2.3707790272150406,7.976631005517969,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz2048_lr0.0005.json
plain_muon,2048,0.001,2.370772782698495,7.976710678305111,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz2048_lr0.001.json
plain_muon,2048,0.002,2.3708613953618567,7.976652324977708,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz2048_lr0.002.json
shampoo,2048,0.00025,2.370740519363009,7.976677510138046,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz2048_lr0.00025.json
shampoo,2048,0.0005,2.3706667745961845,7.976647754159796,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz2048_lr0.0005.json
shampoo,2048,0.001,2.370744831053005,7.976621382675754,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz2048_lr0.001.json
shampoo,2048,0.002,2.370715243938896,7.976621380872353,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz2048_lr0.002.json
soap,2048,0.000125,2.371002937736891,7.976792240438624,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz2048_lr0.000125_ext.json
soap,2048,0.00025,2.3711632136615624,7.976935799221545,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz2048_lr0.00025.json
soap,2048,0.0005,2.371488077200901,7.977204964308458,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz2048_lr0.0005.json
soap,2048,0.001,2.3724709938409774,7.978228255198995,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz2048_lr0.001.json
soap,2048,0.002,2.3754142426394877,7.981394199613274,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz2048_lr0.002.json
