source,case,method,alpha,batch,batch_label,lr,seed,score,val_bpb_final,steps_completed,tokens,path
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz1048576_lr0p02_s42,streaming_identity,1.0,1048576,1M,0.02,42,1.0105565956286775,1.0105565956286775,384,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz1048576_lr0p02_s42/result.json
v52_1m_seed_confirm,streaming_identity_bsz1048576_lr0p02_s43,streaming_identity,1.0,1048576,1M,0.02,43,1.0262750298413146,1.0262750298413146,384,402653184,search_evals/v52_1m_seed_confirm/streaming_identity_bsz1048576_lr0p02_s43/result.json
v52_1m_seed_confirm,streaming_identity_bsz1048576_lr0p02_s44,streaming_identity,1.0,1048576,1M,0.02,44,1.0428243459826563,1.0428243459826563,384,402653184,search_evals/v52_1m_seed_confirm/streaming_identity_bsz1048576_lr0p02_s44/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz1048576_lr0p04_s42,streaming_identity,1.0,1048576,1M,0.04,42,1.0269541243929146,1.0269541243929146,384,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz1048576_lr0p04_s42/result.json
v53_1m_identity_s42_boundary,streaming_identity_bsz1048576_lr0p08_s42,streaming_identity,1.0,1048576,1M,0.08,42,1.0024510047868724,1.0024510047868724,384,402653184,search_evals/v53_1m_identity_s42_boundary/streaming_identity_bsz1048576_lr0p08_s42/result.json
v58_262k_1m_best_metrics_20260502_095901,streaming_identity_bsz1048576_lr0p08_s42,streaming_identity,1.0,1048576,1M,0.08,42,1.002178222221336,1.002178222221336,384,402653184,search_evals/v58_262k_1m_best_metrics_20260502_095901/streaming_identity_bsz1048576_lr0p08_s42/result.json
v52_1m_seed_confirm,streaming_identity_bsz1048576_lr0p08_s43,streaming_identity,1.0,1048576,1M,0.08,43,1.0044511929108475,1.0044511929108475,384,402653184,search_evals/v52_1m_seed_confirm/streaming_identity_bsz1048576_lr0p08_s43/result.json
v52_1m_seed_confirm,streaming_identity_bsz1048576_lr0p08_s44,streaming_identity,1.0,1048576,1M,0.08,44,1.0071753959557805,1.0071753959557805,384,402653184,search_evals/v52_1m_seed_confirm/streaming_identity_bsz1048576_lr0p08_s44/result.json
v53_1m_identity_s42_boundary,streaming_identity_bsz1048576_lr0p16_s42,streaming_identity,1.0,1048576,1M,0.16,42,1.0219910756487403,1.0219910756487403,384,402653184,search_evals/v53_1m_identity_s42_boundary/streaming_identity_bsz1048576_lr0p16_s42/result.json
v54_1m_identity_s43s44_lr016,streaming_identity_bsz1048576_lr0p16_s43,streaming_identity,1.0,1048576,1M,0.16,43,1.0237744867644591,1.0237744867644591,384,402653184,search_evals/v54_1m_identity_s43s44_lr016/streaming_identity_bsz1048576_lr0p16_s43/result.json
v54_1m_identity_s43s44_lr016,streaming_identity_bsz1048576_lr0p16_s44,streaming_identity,1.0,1048576,1M,0.16,44,1.0213338616641503,1.0213338616641503,384,402653184,search_evals/v54_1m_identity_s43s44_lr016/streaming_identity_bsz1048576_lr0p16_s44/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz1048576_lr0p005_s42,top_aware_muon,0.5,1048576,1M,0.005,42,1.1500976657154238,1.1500976657154238,384,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz1048576_lr0p005_s42/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz1048576_lr0p01_s42,top_aware_muon,0.5,1048576,1M,0.01,42,1.0915078106052412,1.0915078106052412,384,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz1048576_lr0p01_s42/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz1048576_lr0p02_s42,top_aware_muon,0.5,1048576,1M,0.02,42,1.0450092147864594,1.0450092147864594,384,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz1048576_lr0p02_s42/result.json
v52_1m_seed_confirm,top_aware_k1_a0p5_bsz1048576_lr0p02_s43,top_aware_muon,0.5,1048576,1M,0.02,43,1.0146760108554262,1.0146760108554262,384,402653184,search_evals/v52_1m_seed_confirm/top_aware_k1_a0p5_bsz1048576_lr0p02_s43/result.json
v52_1m_seed_confirm,top_aware_k1_a0p5_bsz1048576_lr0p02_s44,top_aware_muon,0.5,1048576,1M,0.02,44,1.0556637467804928,1.0556637467804928,384,402653184,search_evals/v52_1m_seed_confirm/top_aware_k1_a0p5_bsz1048576_lr0p02_s44/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz1048576_lr0p04_s42,top_aware_muon,0.5,1048576,1M,0.04,42,1.0239740201470586,1.0239740201470586,384,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz1048576_lr0p04_s42/result.json
