catalog_source,source,family,batch_label,batch,method,variant,alpha,top_k,lr,seed,score,status,quality,tokens,depth,path,notes
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,256K,262144,native_muon,native Muon,,,0.01,44,0.891630208762,complete,full_or_historical,,8,sweep_results_v13_256k_clean/muon_bsz262144_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_identity,alpha=1 identity,1,,0.01,42,0.915118851343,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_identity_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_lite,LITE-like chi2 tail,,,0.01,42,0.914020113599,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_lite_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,top_aware_muon,"top_k=1, alpha=0.25",0.25,1,0.02,42,0.920442349825,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p02_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.01,42,0.916747576993,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p5_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,top_aware_muon,"top_k=1, alpha=0.75",0.75,1,0.01,42,0.916292214862,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p75_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,top_aware_muon,"top_k=1, alpha=0.875",0.875,1,0.01,42,0.91602283755,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p875_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v31_topaware_k1_512k_alpha_sweep_20260501,native_ddp_or_control,512K,524288,native_muon,native Muon,,,0.01,42,0.921939719621,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/native_muon_bsz524288_lr0p01_s42/result.json,
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,512K,524288,native_lite,native LITE,,,0.01,43,0.896285405654,complete,full_or_historical,,8,sweep_results_v9/lite_bsz524288_lr0.01_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,512K,524288,native_muon,native Muon,,,0.01,44,0.89789886852,complete,full_or_historical,,8,sweep_results_v9/muon_bsz524288_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
