catalog_source,source,family,batch_label,batch,method,variant,alpha,top_k,lr,seed,score,status,quality,tokens,depth,path,notes
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.005,43,0.897915323589,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.005_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.005,44,0.896879808954,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.005_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.01,42,0.894340315402,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.01,43,0.893486239559,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.01,44,0.892904466248,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.02,42,0.895696415207,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.02_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.02,43,0.895687249445,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.02_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.02,44,0.895201319696,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.02_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.04,42,0.903167882806,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.04_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.04,43,0.904024989846,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.04_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.04,44,0.903534152445,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.04_s44.json,historical native Muon/LITE or older streaming Top-Aware control
