method,lr,score,gap_vs_adamw
kl_soap,0.008,1.5230884517494772,-0.15454972922592947
adamw,0.0005,1.6776381809754066,0.0
soap,0.004,1.7264181887916894,0.04878000781628278
shampoo,0.000125,1.7415474022816808,0.06390922130627419
kl_shampoo,0.000125,2.3531089653117494,0.6754707843363428
