time,method,batch,lr,seed,top_k,alpha,score,error,result_json,log_file
2026-05-13 01:02:38 UTC,kl_shampoo,262144,0.0005,42,,,2.3536968944981296,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p0005_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p0005_s42.log
2026-05-13 01:04:56 UTC,kl_shampoo,262144,0.001,42,,,2.353508936855848,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p001_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p001_s42.log
2026-05-13 01:07:16 UTC,kl_shampoo,262144,0.002,42,,,2.3539623828563863,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p002_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p002_s42.log
2026-05-13 01:09:34 UTC,kl_shampoo,262144,0.004,42,,,2.3540167268161825,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p004_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p004_s42.log
2026-05-13 01:11:53 UTC,kl_shampoo,262144,0.008,42,,,2.35406092657015,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p008_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p008_s42.log
2026-05-13 01:14:13 UTC,kl_shampoo,262144,0.015,42,,,2.3540742589549533,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p015_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p015_s42.log
2026-05-13 01:16:30 UTC,kl_shampoo,262144,0.03,42,,,2.354073679286049,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p03_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p03_s42.log
2026-05-13 01:18:55 UTC,kl_shampoo,262144,0.06,42,,,2.354096721125002,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p06_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr0p06_s42.log
2026-05-13 01:21:15 UTC,kl_shampoo,262144,6.25e-05,42,,,2.353186496027725,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr6p25em05_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/kl_shampoo_bsz262144_lr6p25em05_s42.log
2026-05-13 01:22:41 UTC,shampoo,262144,6.25e-05,42,,,1.743118594847304,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/shampoo_bsz262144_lr6p25em05_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/shampoo_bsz262144_lr6p25em05_s42.log
