depth,batch,batch_label,c1_best_bpb,c1_best_lr,c05_best_bpb,c05_best_lr,delta_c05_minus_c1,winner
d12,524288,512K,0.8149781054907281,0.0075,0.8160663614002971,0.0075,0.0010882559095689581,c=1
d12,2097152,2M,0.8345332359837353,0.015,0.8337885788173034,0.02,-0.0007446571664319057,c=0.5
d12,8388608,8M,0.8903327443989529,0.01,0.8870322545740068,0.015,-0.003300489824946129,c=0.5
d16,524288,512K,0.7500074379617175,0.005,0.750463564930939,0.005,0.000456126969221482,c=1
d16,2097152,2M,0.7529862840032843,0.005,0.7539155657157965,0.0075,0.0009292817125122754,c=1
d16,8388608,8M,0.7937607744140927,0.0075,0.7964303670951134,0.015,0.002669592681020738,c=1
