depth,batch,batch_label,alpha,alpha_label,lr,seed,top_k,score,error,result_json
d12,8388608,8M,0.5,c=0.5,0.005,42,1,0.9002310256948168,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz8388608_lr0p005_s42/result.json
d12,8388608,8M,0.5,c=0.5,0.02,42,1,0.9007717118654809,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz8388608_lr0p02_s42/result.json
d12,8388608,8M,0.5,c=0.5,0.01,42,1,0.8886747464148823,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz8388608_lr0p01_s42/result.json
d12,8388608,8M,0.5,c=0.5,0.04,42,1,0.9000510384999724,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz8388608_lr0p04_s42/result.json
d12,8388608,8M,1.0,c=1,0.02,42,1,0.9064179043710634,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz8388608_lr0p02_s42/result.json
d12,8388608,8M,0.5,c=0.5,0.03,42,1,0.9003144980170635,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz8388608_lr0p03_s42/result.json
d12,8388608,8M,0.5,c=0.5,0.015,42,1,0.8870322545740068,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz8388608_lr0p015_s42/result.json
d16,2097152,2M,0.5,c=0.5,0.005,42,1,0.760063389199603,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz2097152_lr0p005_s42/result.json
d16,2097152,2M,0.5,c=0.5,0.0075,42,1,0.7539155657157965,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz2097152_lr0p0075_s42/result.json
d16,2097152,2M,0.5,c=0.5,0.015,42,1,0.7627849347061888,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz2097152_lr0p015_s42/result.json
d16,2097152,2M,0.5,c=0.5,0.01,42,1,0.7614782885368527,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz2097152_lr0p01_s42/result.json
d16,2097152,2M,0.5,c=0.5,0.02,42,1,0.77216078940188,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz2097152_lr0p02_s42/result.json
d16,2097152,2M,0.5,c=0.5,0.03,42,1,0.7809303104234736,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz2097152_lr0p03_s42/result.json
