depth,batch_label,batch,alpha,top_k,lr,seed,score,val_bpb_best,val_bpb_final,train_loss_final,steps_completed,tokens,chinchilla_mult,sweep,result_json,delta_vs_alpha1_best
12,8M,8388608,1.15,1,0.01,42,0.8902573149827561,0.8902573149827561,0.8902573149827561,2.943957419081515,405,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz8388608_lr0p01_s42/result.json,-5.2315118630352764e-05
16,512K,524288,0.25,1,0.005,42,0.751450306323609,0.751450306323609,0.751450306323609,2.5021231153169805,15360,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p005_s42/result.json,-0.00015230800465504402
16,512K,524288,0.5,1,0.005,42,0.7505771075776062,0.7505771075776062,0.7505771075776062,2.497988847680232,15360,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p5_bsz524288_lr0p005_s42/result.json,-0.001025506750657823
16,512K,524288,0.75,1,0.005,42,0.7498195527780493,0.7498195527780493,0.7498195527780493,2.4965416133025133,15360,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p75_bsz524288_lr0p005_s42/result.json,-0.0017830615502146818
16,512K,524288,0.85,1,0.005,42,0.7492862573859176,0.7492862573859176,0.7492862573859176,2.495160803405148,15360,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p005_s42/result.json,-0.0023163569423464425
16,512K,524288,1.0,1,0.005,42,0.751602614328264,0.751602614328264,0.751602614328264,2.418787134854983,15360,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a1_bsz524288_lr0p005_s42/result.json,0.0
16,512K,524288,1.15,1,0.0075,42,0.751301548790994,0.751301548790994,0.751301548790994,2.500942847136074,15360,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p0075_s42/result.json,-0.00030106553727005103
16,2M,2097152,0.25,1,0.005,42,0.7583156149939493,0.7583156149939493,0.7583156149939493,2.5295746892532707,3840,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p005_s42/result.json,0.006009572450085265
16,2M,2097152,0.5,1,0.0075,42,0.752945779638583,0.752945779638583,0.752945779638583,2.511914232283139,3840,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p0075_s42/result.json,0.000639737094718984
16,2M,2097152,0.75,1,0.0075,42,0.7580611403448777,0.7580611403448777,0.7580611403448777,2.52876105164075,3840,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p0075_s42/result.json,0.005755097801013687
16,2M,2097152,0.85,1,0.0075,42,0.7600183199422789,0.7600183199422789,0.7600183199422789,2.5368234180991993,3840,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p0075_s42/result.json,0.007712277398414846
16,2M,2097152,1.0,1,0.005,42,0.752306042543864,0.752306042543864,0.752306042543864,2.510193748134436,3840,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a1_bsz2097152_lr0p005_s42/result.json,0.0
16,2M,2097152,1.15,1,0.005,42,0.7530185280860966,0.7530185280860966,0.7530185280860966,2.513215903005576,3840,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a1p15_bsz2097152_lr0p005_s42/result.json,0.0007124855422325771
16,8M,8388608,0.25,1,0.01,42,0.7982732070011036,0.7982732070011036,0.7982732070011036,2.6564532820798568,960,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p25_bsz8388608_lr0p01_s42/result.json,0.009767348582061963
16,8M,8388608,0.5,1,0.015,42,0.7957257795417044,0.7957257795417044,0.7957257795417044,2.6488421031704803,960,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p5_bsz8388608_lr0p015_s42/result.json,0.007219921122662787
16,8M,8388608,0.75,1,0.015,42,0.7904906447480192,0.7904906447480192,0.7904906447480192,2.634175680160589,960,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p75_bsz8388608_lr0p015_s42/result.json,0.0019847863289775836
16,8M,8388608,0.85,1,0.01,42,0.7934452896128233,0.7934452896128233,0.7934452896128233,2.642187460146963,960,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a0p85_bsz8388608_lr0p01_s42/result.json,0.004939431193781707
16,8M,8388608,1.0,1,0.015,42,0.7885058584190416,0.7885058584190416,0.7885058584190416,2.6251079150744747,960,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a1_bsz8388608_lr0p015_s42/result.json,0.0
16,8M,8388608,1.15,1,0.0075,42,0.7940237267208924,0.7940237267208924,0.7940237267208924,2.643004482530794,960,8053063680,2.0,sadhika_alpha_2x_001_d16_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d16_2x_alpha/top_aware_k1_a1p15_bsz8388608_lr0p0075_s42/result.json,0.005517868301850748
