depth,batch_label,batch,alpha,top_k,lr,seed,score,val_bpb_best,val_bpb_final,train_loss_final,steps_completed,tokens,chinchilla_mult,sweep,result_json
12,512K,524288,0.75,1,0.02,42,0.8231220188471496,0.8231220188471496,0.8231220188471496,2.722321073371445,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz524288_lr0p02_s42/result.json
12,512K,524288,0.75,1,0.03,42,0.8288367572006883,0.8288367572006883,0.8288367572006883,2.7412181253579315,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz524288_lr0p03_s42/result.json
12,512K,524288,0.75,1,0.04,42,0.83327347053705,0.83327347053705,0.83327347053705,2.7547722631462825,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz524288_lr0p04_s42/result.json
12,512K,524288,0.85,1,0.005,42,0.8154839390685097,0.8154839390685097,0.8154839390685097,2.699033911950448,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p005_s42/result.json
12,512K,524288,0.85,1,0.0075,42,0.8150298409404539,0.8150298409404539,0.8150298409404539,2.6976222464035917,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p0075_s42/result.json
12,512K,524288,0.85,1,0.01,42,0.8165453128326329,0.8165453128326329,0.8165453128326329,2.701447635446935,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p01_s42/result.json
12,512K,524288,0.85,1,0.015,42,0.8195719091002069,0.8195719091002069,0.8195719091002069,2.7124459118813777,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p015_s42/result.json
12,512K,524288,0.85,1,0.02,42,0.8233888839190547,0.8233888839190547,0.8233888839190547,2.723860259084634,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p02_s42/result.json
12,512K,524288,0.85,1,0.03,42,0.8285961221467114,0.8285961221467114,0.8285961221467114,2.740825861648962,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p03_s42/result.json
12,512K,524288,0.85,1,0.04,42,0.8331088445681746,0.8331088445681746,0.8331088445681746,2.754945370953602,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz524288_lr0p04_s42/result.json
