time,method,batch,lr,seed,top_k,alpha,score,error,result_json,log_file
2026-05-12 20:41:34 UTC,kl_soap,262144,0.004,42,,,1.5843640923054223,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p004_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p004_s42.log
2026-05-12 20:43:39 UTC,kl_soap,262144,0.008,42,,,1.5257766662940546,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p008_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p008_s42.log
2026-05-12 20:45:43 UTC,kl_soap,262144,0.015,42,,,1.5093668192768162,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p015_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p015_s42.log
2026-05-12 20:47:46 UTC,kl_shampoo,262144,0.00025,42,,,2.3539080388965905,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p00025_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p00025_s42.log
2026-05-12 20:49:49 UTC,kl_shampoo,262144,0.0005,42,,,2.35344270968351,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p0005_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p0005_s42.log
2026-05-12 20:51:52 UTC,kl_shampoo,262144,0.001,42,,,2.360424821638105,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p001_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p001_s42.log
2026-05-12 20:53:55 UTC,kl_shampoo,262144,0.002,42,,,2.353962817608065,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p002_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p002_s42.log
2026-05-12 20:55:57 UTC,kl_shampoo,262144,0.004,42,,,2.353990206963802,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p004_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p004_s42.log
2026-05-12 20:58:00 UTC,kl_shampoo,262144,0.008,42,,,2.353878185948009,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p008_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p008_s42.log
2026-05-12 21:00:03 UTC,kl_shampoo,262144,0.015,42,,,2.354072809782692,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p015_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_shampoo_bsz262144_lr0p015_s42.log
2026-05-12 21:02:07 UTC,kl_soap,262144,0.03,42,,,1.6192830572775139,,/outputs/search_evals/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p03_s42/result.json,/outputs/logs/modal_d8_baseline_bugcheck_20260512_160047/kl_soap_bsz262144_lr0p03_s42.log
