source,batch_label,batch,method,lr,seed,score,status,path
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.25,0.005,42,0.9249482251328257,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p005_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.25,0.01,42,0.9216520843528742,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.25,0.02,42,0.9204423498251815,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p02_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.25,0.04,42,0.9293912119233688,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p04_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.5,0.005,42,0.9235619970248815,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p5_bsz262144_lr0p005_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.5,0.01,42,0.9167475769932826,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p5_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.5,0.02,42,0.918039472325575,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p5_bsz262144_lr0p02_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.5,0.04,42,0.9252080387530154,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p5_bsz262144_lr0p04_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.75,0.005,42,0.9229107965736087,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p75_bsz262144_lr0p005_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.75,0.01,42,0.9162922148619687,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p75_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.75,0.02,42,0.917436669949675,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p75_bsz262144_lr0p02_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.75,0.04,42,0.9243464370878467,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p75_bsz262144_lr0p04_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.875,0.005,42,0.9218632100888564,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p875_bsz262144_lr0p005_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.875,0.01,42,0.9160228375502383,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p875_bsz262144_lr0p01_s42/result.json
