round,coordinate,candidate,matrix_lr,muon_momentum,adam_lr_multiplier,adam_beta1,weight_decay,stamp,status,score,path
3,matrix_lr,0,0.005,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_matrix_lr_0p005_20260605,scored,0.85723,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_matrix_lr_0p005_20260605/plain_muon_bsz65536_lr0p005_s42/result.json
3,matrix_lr,1,0.00632456,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_matrix_lr_0p00632456_20260605,scored,0.856942,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_matrix_lr_0p00632456_20260605/plain_muon_bsz65536_lr0p00632456_s42/result.json
3,matrix_lr,2,0.008,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_matrix_lr_0p008_20260605,scored,0.857058,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_matrix_lr_0p008_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,matrix_lr,3,0.0101193,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_matrix_lr_0p0101193_20260605,scored,0.857852,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_matrix_lr_0p0101193_20260605/plain_muon_bsz65536_lr0p0101193_s42/result.json
3,matrix_lr,4,0.0128,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_matrix_lr_0p0128_20260605,scored,0.858751,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_matrix_lr_0p0128_20260605/plain_muon_bsz65536_lr0p0128_s42/result.json
3,muon_momentum,0,0.008,0.9,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_muon_momentum_0p9_20260605,scored,0.85827,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_muon_momentum_0p9_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,muon_momentum,1,0.008,0.929289,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_muon_momentum_0p929289_20260605,scored,0.857804,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_muon_momentum_0p929289_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,muon_momentum,2,0.008,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_muon_momentum_0p95_20260605,scored,0.856986,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_muon_momentum_0p95_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,muon_momentum,3,0.008,0.964645,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_muon_momentum_0p964645_20260605,scored,0.857253,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_muon_momentum_0p964645_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,muon_momentum,4,0.008,0.975,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_muon_momentum_0p975_20260605,scored,0.858257,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_muon_momentum_0p975_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,adam_beta1,0,0.008,0.95,4,0.3,0.2,qwen3_d12_muon64_cd_r03_adam_beta1_0p3_20260605,scored,0.857011,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_adam_beta1_0p3_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,adam_beta1,1,0.008,0.95,4,0.5,0.2,qwen3_d12_muon64_cd_r03_adam_beta1_0p5_20260605,scored,0.856721,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_adam_beta1_0p5_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,adam_beta1,2,0.008,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_adam_beta1_0p683772_20260605,scored,0.856964,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_adam_beta1_0p683772_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,adam_beta1,3,0.008,0.95,4,0.8,0.2,qwen3_d12_muon64_cd_r03_adam_beta1_0p8_20260605,scored,0.857775,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_adam_beta1_0p8_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,adam_beta1,4,0.008,0.95,4,0.873509,0.2,qwen3_d12_muon64_cd_r03_adam_beta1_0p873509_20260605,scored,0.857869,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_adam_beta1_0p873509_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,weight_decay,0,0.008,0.95,4,0.683772,0.114286,qwen3_d12_muon64_cd_r03_weight_decay_0p114286_20260605,scored,0.857459,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_weight_decay_0p114286_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,weight_decay,1,0.008,0.95,4,0.683772,0.151186,qwen3_d12_muon64_cd_r03_weight_decay_0p151186_20260605,scored,0.856603,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_weight_decay_0p151186_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,weight_decay,2,0.008,0.95,4,0.683772,0.2,qwen3_d12_muon64_cd_r03_weight_decay_0p2_20260605,scored,0.856962,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_weight_decay_0p2_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,weight_decay,3,0.008,0.95,4,0.683772,0.264575,qwen3_d12_muon64_cd_r03_weight_decay_0p264575_20260605,scored,0.857648,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_weight_decay_0p264575_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
3,weight_decay,4,0.008,0.95,4,0.683772,0.35,qwen3_d12_muon64_cd_r03_weight_decay_0p35_20260605,scored,0.859842,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r03_weight_decay_0p35_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
