depth,batch_size,optimizer,batch_label,lr,seed,score_best_val_bpb,final_val_bpb,train_loss_final,steps_completed,max_steps,eval_time_seconds,error,precondition_frequency,architecture,path,delta_vs_plain_muon,delta_vs_adamw
16,524288,plain_muon,512K,0.005,42,0.7935873809530367,0.7935873809530367,2.6293517765001755,15360.0,15360,3797.8612127304077,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz524288_lr0p005_s42/result.json,0.0,-0.002835015694639842
16,524288,shampoo,512K,0.01,42,1.004778297843505,1.004778297843505,3.3044556083628294,15360.0,15360,14169.942591667175,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p01_s42/result.json,0.2111909168904682,0.20835590119582836
16,524288,soap,512K,0.005,42,2.1694513069640253,2.1694513069640253,7.096464685545995,15360.0,15360,15036.127900600433,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p005_s42/result.json,1.3758639260109886,1.3730289103163487
16,2097152,adamw,2M,0.005,42,2.210968498158713,2.255483012341298,7.362733488807933,3840.0,3840,2814.426334619522,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/adamw_bsz2097152_lr0p005_s42/result.json,1.4102912592934589,0.0
16,2097152,kl_shampoo,2M,0.02,42,1.4914025900921848,1.4914025900921848,4.9098467323657955,3840.0,3840,5430.891323328018,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/kl_shampoo_bsz2097152_lr0p02_s42/result.json,0.6907253512269305,-0.7195659080665284
16,2097152,kl_soap,2M,0.01,42,2.192962387895732,2.223716286871829,7.273332689503669,3840.0,3840,5533.112875699997,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/kl_soap_bsz2097152_lr0p01_s42/result.json,1.3922851490304777,-0.018006110262981156
16,2097152,plain_muon,2M,0.0075,42,0.8006772388652543,0.8006772388652543,2.656805594488497,3840.0,3840,2825.192770719528,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz2097152_lr0p0075_s42/result.json,0.0,-1.4102912592934589
16,2097152,shampoo,2M,0.005,42,0.9581416158015781,0.9581416158015781,3.1591288956336454,3840.0,3840,5450.434381484985,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p005_s42/result.json,0.15746437693632376,-1.2528268823571351
16,2097152,soap,2M,0.02,42,2.2212392167257127,2.31212072199241,7.567605995346048,3840.0,3840,5491.320469379425,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p02_s42/result.json,1.4205619778604583,0.01027071856699946
16,8388608,adamw,8M,0.0075,42,2.058169369024347,2.2229341686024444,7.261556610888456,960.0,960,2528.2307708263397,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/adamw_bsz8388608_lr0p0075_s42/result.json,1.212497722582202,0.0
16,8388608,kl_shampoo,8M,0.0075,42,1.3832973826663435,1.3832973826663435,4.554486105121555,960.0,960,3294.4680786132812,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/kl_shampoo_bsz8388608_lr0p0075_s42/result.json,0.5376257362241986,-0.6748719863580035
16,8388608,kl_soap,8M,0.0075,42,2.2000727515954464,2.2000727515954464,7.1887090147052515,960.0,960,3249.510490179062,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/kl_soap_bsz8388608_lr0p0075_s42/result.json,1.3544011051533014,0.14190338257109936
16,8388608,plain_muon,8M,0.0075,42,0.8456716464421449,0.8456716464421449,2.799592394463917,960.0,960,2575.4190752506256,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p0075_s42/result.json,0.0,-1.212497722582202
16,8388608,shampoo,8M,0.0075,42,1.102786469997855,1.102786469997855,3.629353176284514,960.0,960,3239.31862783432,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p0075_s42/result.json,0.25711482355571,-0.9553828990264921
16,8388608,soap,8M,0.005,42,2.234070912512754,2.234070912512754,7.295728725150768,960.0,960,3194.946277856827,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p005_s42/result.json,1.3883992660706088,0.1759015434884068
