depth,optimizer,batch_size,batch_label,lr,seed,score_best_val_bpb,final_val_bpb,train_loss_final,steps_completed,max_steps,eval_time_seconds,error,precondition_frequency,architecture,path
16,plain_muon,8388608,8M,0.005,42,0.8519721402236716,0.8519721402236716,2.8199002925876693,960.0,960,2581.8052666187286,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p005_s42/result.json
16,plain_muon,8388608,8M,0.0075,42,0.8456716464421449,0.8456716464421449,2.799592394463917,960.0,960,2575.4190752506256,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p0075_s42/result.json
16,plain_muon,8388608,8M,0.01,42,0.9380110190036373,0.9380110190036373,3.09628650961783,960.0,960,2584.4497797489166,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p01_s42/result.json
16,plain_muon,8388608,8M,0.015,42,0.9730834513181928,0.9730834513181928,3.2116082638595707,960.0,960,2611.41267991066,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p015_s42/result.json
16,plain_muon,8388608,8M,0.02,42,1.049107607811105,1.049107607811105,3.457484985673832,960.0,960,2926.0354092121124,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p02_s42/result.json
16,plain_muon,8388608,8M,0.03,42,1.093013179809522,1.093013179809522,3.602494323439507,960.0,960,2571.35582780838,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p03_s42/result.json
16,plain_muon,8388608,8M,0.04,42,1.1579179100006467,1.1579179100006467,3.8230567627211003,960.0,960,2585.9621233940125,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/plain_muon_bsz8388608_lr0p04_s42/result.json
16,shampoo,524288,512K,0.005,42,1.045323456743974,1.045323456743974,3.4359460278192353,15360.0,15360,14114.051630735397,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p005_s42/result.json
16,shampoo,524288,512K,0.0075,42,1.0239244719243936,1.0239244719243936,3.3686250386984775,15360.0,15360,14074.599100351334,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p0075_s42/result.json
16,shampoo,524288,512K,0.01,42,1.004778297843505,1.004778297843505,3.3044556083628294,15360.0,15360,14169.942591667175,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p01_s42/result.json
16,shampoo,524288,512K,0.015,42,1.0313393067161916,1.0313393067161916,3.3901763289148676,15360.0,15360,14082.508958339691,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p015_s42/result.json
16,shampoo,524288,512K,0.02,42,1.1050294988237832,1.1050294988237832,3.62744132299582,15360.0,15360,14115.99171090126,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p02_s42/result.json
16,shampoo,524288,512K,0.03,42,1.0047917026869213,1.0047917026869213,3.2963299102325134,15360.0,15360,4858.522485494614,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p03_s42/result.json
16,shampoo,524288,512K,0.04,42,1.3591885181768804,,,15360.0,15360,3037.7626383304596,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz524288_lr0p04_s42/result.json
16,shampoo,2097152,2M,0.005,42,0.9581416158015781,0.9581416158015781,3.1591288956336454,3840.0,3840,5450.434381484985,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p005_s42/result.json
16,shampoo,2097152,2M,0.0075,42,1.025723691745321,1.025723691745321,3.3753450019020415,3840.0,3840,5396.047279119492,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p0075_s42/result.json
16,shampoo,2097152,2M,0.01,42,1.0200183005528674,1.0200183005528674,3.3567416031817356,3840.0,3840,5389.587304592133,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p01_s42/result.json
16,shampoo,2097152,2M,0.015,42,1.4566194125609702,2.3261226243803925,7.604963173392927,3840.0,3840,5344.250692367554,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p015_s42/result.json
