source,method,batch_label,batch,lr,seed,score,lr_status,path
native_ddp_exact_control,native_muon,128K,131072,0.01,42,0.9166915714360024,single exact-control LR,sweep_results_v21_exact_native_controls_top1/native_muon_bsz131072_lr0.01_s42.json
native_ddp_exact_control,native_muon,8M,8388608,0.02,42,1.1186926038097433,single exact-control LR,sweep_results_v21_exact_native_controls_top1/native_muon_bsz8388608_lr0.02_s42.json
v26_streaming_small,streaming_identity,32K,32768,0.0025,42,0.9417721351449199,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz32768_lr0p0025_s42/result.json
v26_streaming_small,streaming_identity,32K,32768,0.005,42,0.9350636402423552,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz32768_lr0p005_s42/result.json
v26_streaming_small,streaming_identity,32K,32768,0.01,42,0.9360529751513595,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz32768_lr0p01_s42/result.json
v26_streaming_small,streaming_identity,32K,32768,0.02,42,0.9423229892872238,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz32768_lr0p02_s42/result.json
v26_streaming_small,streaming_identity,64K,65536,0.005,42,0.9237184937955479,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz65536_lr0p005_s42/result.json
v26_streaming_small,streaming_identity,64K,65536,0.01,42,0.9221445420150127,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz65536_lr0p01_s42/result.json
v26_streaming_small,streaming_identity,64K,65536,0.02,42,0.9270234737449538,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz65536_lr0p02_s42/result.json
v26_streaming_small,top_aware_k1_a0.5,64K,65536,0.005,42,0.9245033685717648,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/top1pm_a05_bsz65536_lr0p005_s42/result.json
v26_streaming_small,top_aware_k1_a0.5,64K,65536,0.01,42,0.9238023210009465,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/top1pm_a05_bsz65536_lr0p01_s42/result.json
v26_streaming_small,top_aware_k1_a0.5,64K,65536,0.02,42,0.9287040027244011,swept/active family,search_evals/v26_small_bsz_streaming_fair_20260430/top1pm_a05_bsz65536_lr0p02_s42/result.json
