batch_label,batch,winner_in_batch,method,variant,source,family,optimal_lr,best_score,delta_vs_identity_best,quality,seed,path
512K,524288,,native_muon,native Muon,v31_topaware_k1_512k_alpha_sweep_20260501,native_ddp_or_control,0.01,0.921939719621,+0.000975496537,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/native_muon_bsz524288_lr0p01_s42/result.json
512K,524288,,top_aware_muon,"top_k=1, alpha=0.5",v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,0.01,0.922203010947,+0.001238787863,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p5_bsz524288_lr0p01_s42/result.json
512K,524288,,top_aware_muon,"top_k=1, alpha=0.25",v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,0.01,0.923897378299,+0.002933155215,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p25_bsz524288_lr0p01_s42/result.json
512K,524288,,top_aware_muon,"top_k=1, alpha=0.75",v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,0.02,0.924523437834,+0.00355921475,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p75_bsz524288_lr0p02_s42/result.json
512K,524288,,top_aware_muon,"top_k=1, alpha=0.875",v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,0.01,0.924970178152,+0.004005955068,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p875_bsz524288_lr0p01_s42/result.json
1M,1048576,yes,native_lite,native LITE,native_single_gpu,native_single_gpu,0.02,0.906797957738,-0.028180985872,full_or_historical,42,sweep_results_v9/lite_bsz1048576_lr0.02_s42.json
1M,1048576,,native_muon,native Muon,native_single_gpu,native_single_gpu,0.01,0.910022068786,-0.024956874824,full_or_historical,42,sweep_results_v9/muon_bsz1048576_lr0.01_s42.json
1M,1048576,,top_aware_muon,"top_k=1, alpha=0.5",streaming_ddp_top1_old,streaming_ddp_top1_old,0.02,0.933161045243,-0.001817898367,full_or_historical,42,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz1048576_lr0p02/result.json
1M,1048576,,native_muon,native Muon,native_ddp_exact_control,native_ddp_or_control,0.01,0.933374706807,-0.001604236803,full_or_historical,42,sweep_results_v21_exact_native_controls_top1/native_muon_bsz1048576_lr0.01_s42.json
1M,1048576,,streaming_identity,alpha=1 identity,streaming_ddp_top1_old,streaming_ddp_top1_old,0.01,0.93497894361,+0,full_or_historical,42,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz1048576_lr0p01/result.json
4M,4194304,yes,native_lite,native LITE,native_single_gpu,native_single_gpu,0.04,0.969288754419,,full_or_historical,42,sweep_results_v9/lite_bsz4194304_lr0.04_s42.json
4M,4194304,,native_muon,native Muon,native_single_gpu,native_single_gpu,0.04,0.979475380653,,full_or_historical,42,sweep_results_v9/muon_bsz4194304_lr0.04_s42.json
8M,8388608,yes,top_aware_muon,"top_k=1, alpha=0.5",streaming_ddp_top1_old,streaming_ddp_top1_old,0.02,1.08312030822,-0.01538080692,full_or_historical,42,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz8388608_lr0p02/result.json
8M,8388608,,streaming_identity,alpha=1 identity,streaming_ddp_top1_old,streaming_ddp_top1_old,0.02,1.09850111514,+0,full_or_historical,42,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz8388608_lr0p02/result.json
8M,8388608,,native_muon,native Muon,native_ddp_exact_control,native_ddp_or_control,0.02,1.11869260381,+0.02019148867,full_or_historical,42,sweep_results_v21_exact_native_controls_top1/native_muon_bsz8388608_lr0.02_s42.json
16M,16777216,yes,native_lite,native LITE,native_single_gpu,native_single_gpu,0.04,1.29513925735,,full_or_historical,44,sweep_results_v9/lite_bsz16777216_lr0.04_s44.json
16M,16777216,,native_muon,native Muon,native_single_gpu,native_single_gpu,0.04,1.3259978533,,full_or_historical,42,sweep_results_v9/muon_bsz16777216_lr0.04_s42.json
