batch_label,batch,winner_method,variant,optimal_lr,best_score,path
32K,32768,streaming_lite,LITE-like chi=2 rs=.1,0.005,0.933130615316,search_evals/v26_small_bsz_streaming_fair_20260430/lite_chi2_rs01_bsz32768_lr0p005_s42/result.json
64K,65536,streaming_identity,identity / Muon-like,0.01,0.922144542015,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz65536_lr0p01_s42/result.json
